BIN,NAME,CNSTRCT_YR,the_geom,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
1018457,,1935.0,"MULTIPOLYGON (((-73.98236677504677 40.7452378978967, -73.98220247429241 40.745167672732705, -73.98214016399905 40.74525199823216, -73.98211889195893 40.745242906118555, -73.98207511665692 40.74522419579205, -73.98208929216581 40.74520501180369, -73.98220020742366 40.74505490734211, -73.98220598514676 40.74504708913588, -73.98224189228726 40.74506243660907, -73.98242523206042 40.74514079980137, -73.98251962919122 40.74518114695724, -73.98245107253415 40.74527392743342, -73.98237062267758 40.74523954191024, -73.98236677504677 40.7452378978967)))",08/22/2017 12:00:00 AM +0000,Constructed,584238,155.49,2100.0,37.0,4594.25624595698,347.41915478936005,1008870001,1008870001.0,Photogramm
3133833,,1925.0,"MULTIPOLYGON (((-73.99237504017802 40.620213492625126, -73.99239977449818 40.620189426953836, -73.99237266580829 40.62017324910976, -73.99236287703644 40.62018277416507, -73.99231164944483 40.6201522043851, -73.99234043424923 40.62012419741922, -73.99239166183258 40.62015476718646, -73.99250851053024 40.620224496754986, -73.99246478139254 40.6202670452885, -73.99237504017802 40.620213492625126)))",08/22/2017 12:00:00 AM +0000,Constructed,199082,26.62,2100.0,39.0,938.9138520886801,166.72651350153,3055530009,3055530009.0,Photogramm
3254361,,1925.0,"MULTIPOLYGON (((-73.95368528662648 40.62342705058006, -73.95366386672451 40.62331962609098, -73.95365771466093 40.623320338624325, -73.95364663904695 40.62326479367101, -73.95364151228348 40.62323908175, -73.95369213052217 40.62323322175295, -73.95368595553722 40.62320225667682, -73.953722834754 40.62319798685251, -73.95372477570213 40.623207722258, -73.95374535227799 40.6232053396573, -73.95378292654188 40.623393767022385, -73.95378721008794 40.62341525065512, -73.95368528662648 40.62342705058006)))",08/22/2017 12:00:00 AM +0000,Constructed,418951,35.62,2100.0,30.0,2204.93525547484,222.57452952437,3076220042,3076220042.0,Photogramm
3325583,,1958.0,"MULTIPOLYGON (((-73.95030981394076 40.69959691031478, -73.9502922111359 40.699508300409896, -73.950200644244 40.69951883644388, -73.95018902623656 40.69946035394938, -73.95024145629284 40.69945432158326, -73.95023013295516 40.6993973223636, -73.95031488145754 40.69938757041058, -73.9503289172509 40.69945822616103, -73.95036016015182 40.699454631287225, -73.95057695287232 40.69942968583914, -73.95056793028111 40.699384270029796, -73.95056279305034 40.699358403308985, -73.95065066893284 40.699348291346546, -73.95066216826237 40.69940617850564, -73.95071331552886 40.69940029305871, -73.95072457090708 40.699456950006855, -73.95063383365361 40.69946739038592, -73.9506516927035 40.6995572898823, -73.95056551577927 40.69956720626338, -73.95055230369466 40.699500703158954, -73.95052250441965 40.699504132110725, -73.95039704284758 40.69951856825228, -73.9503828596966 40.69952020017076, -73.95039612583867 40.6995869788746, -73.95030981394076 40.69959691031478)))",08/22/2017 12:00:00 AM +0000,Constructed,393051,65.16,2100.0,12.0,5783.50732378514,545.9715305978,3017190001,3017190001.0,Photogramm
5005655,,1920.0,"MULTIPOLYGON (((-74.12364693992625 40.63217979456811, -74.12376357918758 40.63216977596216, -74.12376607856284 40.63218666793109, -74.12377138015457 40.63222249392252, -74.12365474198425 40.63223251253511, -74.12365088883742 40.63220647903825, -74.12364693992625 40.63217979456811)))",08/22/2017 12:00:00 AM +0000,Constructed,140934,28.25,2100.0,38.0,629.70841499905,103.81586343859001,5002120005,5002120005.0,Photogramm
3367175,,1925.0,"MULTIPOLYGON (((-73.97037527973106 40.61878962825629, -73.97044037173268 40.61878495149892, -73.97044334625696 40.618808991661616, -73.97037825541392 40.618813668420955, -73.97037527973106 40.61878962825629)))",08/17/2017 12:00:00 AM +0000,Constructed,981239,12.66,5110.0,32.0,159.67787993353,53.896118190699994,3065410084,3065410084.0,Photogramm
3227038,,1965.0,"MULTIPOLYGON (((-73.90505134404114 40.628917992177875, -73.90508418230431 40.62887564621741, -73.90521608824723 40.62893502096762, -73.90518325121921 40.62897736786698, -73.90505134404114 40.628917992177875)))",08/22/2017 12:00:00 AM +0000,Constructed,138226,27.76,2100.0,7.0,762.05529474747,120.89256069243,3080690025,3080690025.0,Photogramm
4559093,,1930.0,"MULTIPOLYGON (((-73.84115203155939 40.778277834686996, -73.84115249583954 40.77825850421436, -73.84115489577921 40.778258537239246, -73.84121061085072 40.77825931011609, -73.8412104688331 40.77826521452309, -73.84120994400938 40.77828708973588, -73.8412092877094 40.77831442272023, -73.84120555868012 40.778314370755446, -73.84115117265013 40.778313616817826, -73.84115149350622 40.77830028170111, -73.84115203155939 40.778277834686996)))",08/17/2017 12:00:00 AM +0000,Constructed,466467,8.78,5110.0,52.0,323.28948537459996,72.36133007087,4042310033,4042310033.0,Photogramm
3242927,,1960.0,"MULTIPOLYGON (((-73.90650851603661 40.6075555122036, -73.9065273639739 40.607555105188396, -73.9065327009036 40.607698767118215, -73.90651428894279 40.6076991645832, -73.90642796588932 40.607701026859, -73.90642262800321 40.60755736492338, -73.90650851603661 40.6075555122036)))",08/22/2017 12:00:00 AM +0000,Constructed,182674,23.78988577,2100.0,10.0,1523.33193870329,162.90754511932,3086060034,3086060034.0,Photogramm
5065718,,1899.0,"MULTIPOLYGON (((-74.14983332006722 40.550119751086214, -74.14990879125119 40.55009451976451, -74.14991057259786 40.55009762155796, -74.14996373246953 40.55007984957712, -74.14997062318727 40.55009184371156, -74.15000441272116 40.550080547486374, -74.15002937530276 40.55012399235179, -74.14993903426533 40.55015419517024, -74.1499484565565 40.55017059318282, -74.1498325517205 40.55020934198208, -74.14979127628429 40.550137504004816, -74.14983510259165 40.550122852879284, -74.14983332006722 40.550119751086214)))",08/22/2017 12:00:00 AM +0000,Constructed,290792,28.68,2100.0,73.0,1588.77878693434,184.77834404288,5051430040,5051430040.0,Photogramm
